link,season,episode,title
https://transcripts.foreverdreaming.org/viewtopic.php?t=112615,13,22,Amelia
https://transcripts.foreverdreaming.org/viewtopic.php?t=111610,13,21,Mother Author Laser Pointer
https://transcripts.foreverdreaming.org/viewtopic.php?t=109302,13,20,Radio No You Didn't
https://transcripts.foreverdreaming.org/viewtopic.php?t=108424,13,19,Crab-solutely Fabulous
https://transcripts.foreverdreaming.org/viewtopic.php?t=107941,13,18,Gift Car or Buy Trying
https://transcripts.foreverdreaming.org/viewtopic.php?t=104859,13,17,Crows Encounters of the Bird Kind
https://transcripts.foreverdreaming.org/viewtopic.php?t=104752,13,16,What a (April) Fool Believes
https://transcripts.foreverdreaming.org/viewtopic.php?t=103715,13,15,The Show (And Tell) Must Go On
https://transcripts.foreverdreaming.org/viewtopic.php?t=102676,13,14,These Boots Are Made for Stalking
https://transcripts.foreverdreaming.org/viewtopic.php?t=102166,13,13,Stop! Or My Mom Will Sleuth!
https://transcripts.foreverdreaming.org/viewtopic.php?t=101408,13,12,Oh Row You Didn't
https://transcripts.foreverdreaming.org/viewtopic.php?t=96086,13,11,Cheaty Cheaty Bang Bang
https://transcripts.foreverdreaming.org/viewtopic.php?t=93550,13,10,The Plight Before Christmas
https://transcripts.foreverdreaming.org/viewtopic.php?t=92590,13,09,Show Mama from the Grave
https://transcripts.foreverdreaming.org/viewtopic.php?t=92071,13,08,Putts-giving
https://transcripts.foreverdreaming.org/viewtopic.php?t=91542,13,07,Ready Player Gene
https://transcripts.foreverdreaming.org/viewtopic.php?t=90893,13,06,Apple Gore-chard!
https://transcripts.foreverdreaming.org/viewtopic.php?t=90297,13,05,So You Stink You Can Dance
https://transcripts.foreverdreaming.org/viewtopic.php?t=89091,13,04,Comet-y of Errors
https://transcripts.foreverdreaming.org/viewtopic.php?t=88183,13,03,What About Job?
https://transcripts.foreverdreaming.org/viewtopic.php?t=87135,13,02,The Reeky Lake Show
https://transcripts.foreverdreaming.org/viewtopic.php?t=86173,13,01,"To Bob, or Not to Bob"
https://transcripts.foreverdreaming.org/viewtopic.php?t=73310,12,22,Some Like It Bot Part 2: Judge-bot Day
https://transcripts.foreverdreaming.org/viewtopic.php?t=72976,12,21,Grade Runner
https://transcripts.foreverdreaming.org/viewtopic.php?t=72501,12,20,Sauce Side Story
https://transcripts.foreverdreaming.org/viewtopic.php?t=72139,12,19,A-Sprout a Boy
https://transcripts.foreverdreaming.org/viewtopic.php?t=70811,12,18,Clear and Present Ginger
https://transcripts.foreverdreaming.org/viewtopic.php?t=69484,12,17,The Spider House Rules
https://transcripts.foreverdreaming.org/viewtopic.php?t=68457,12,16,Interview with a Pop-pop-pire
https://transcripts.foreverdreaming.org/viewtopic.php?t=67973,12,15,Ancient Misbehavin'
https://transcripts.foreverdreaming.org/viewtopic.php?t=66983,12,14,Video k*lled the Gene-io Star
https://transcripts.foreverdreaming.org/viewtopic.php?t=65834,12,13,Frigate Me Knot
https://transcripts.foreverdreaming.org/viewtopic.php?t=64933,12,12,Ferry on My Wayward Bob and Linda
https://transcripts.foreverdreaming.org/viewtopic.php?t=59191,12,11,Touch of Eval
https://transcripts.foreverdreaming.org/viewtopic.php?t=57559,12,10,Gene's Christmas Break
